,French,English
0,chercher,search
1,seulement,only
2,police,police
3,demande,request
4,genre,kind
5,mois,month
6,laisser,let
7,car,because
8,aucun,no
9,chaque,each
10,devrait,should
11,bébé,baby
12,heures,hours
13,vont,will
14,aucune,any
15,place,square
16,savais,knew
17,étaient,were
18,attention,Warning
19,pourrais,could
20,affaire,case
21,type,type
22,leurs,their
23,donné,given
24,train,train
25,yeux,eyes
26,façon,way
27,écoute,listen
28,dont,whose
29,trouve,find
30,premier,first
31,perdu,lost
32,main,hand
33,première,first
34,côté,side
35,pouvoir,power
36,vieux,old
37,tiens,here
38,matin,morning
39,tellement,so much
40,suite,after
41,pardon,sorry
42,venez,come
43,devant,in front of
44,vers,towards
45,minutes,minutes
46,demandé,request
47,chambre,bedroom
48,mis,placed
49,belle,beautiful
50,droit,law
51,aimerais,would like to
52,aujourd'hui,today
53,mari,husband
54,cause,cause
55,enfin,finally
56,espère,hope
57,eau,water
58,boulot,job
59,terre,Earth
60,compte,account
61,loin,far
62,croire,believe
63,chérie,sweetheart
64,aura,will have
65,jouer,to play
